Dataset,No. of Nodes,No. of Edges,No. of Districts,t_1,t_2,Road Network,Instance,Time wo Cuts,Time w Cuts,Improvement in Time (1st_Logic),Objective Function wo Cuts,Objective w Cuts,Gap
103,130,145,8,0.2,0.3,5,RN_5_8_0.2_0.3,1358.72,965.13,1.407810347,24091.98,24091.98,0
104,130,145,8,0.2,0.5,5,RN_5_8_0.2_0.5,1295.35,945.02,1.370711731,24091.98,24091.98,0
105,130,145,8,0.3,0.1,5,RN_5_8_0.3_0.1,48.01,55.48,0.865356885,23104.31,23104.31,0
106,130,145,8,0.3,0.2,5,RN_5_8_0.3_0.2,38.13,28.04,1.359843081,23104.31,23104.31,0
107,130,145,8,0.3,0.3,5,RN_5_8_0.3_0.3,40.66,36.61,1.110625512,23104.31,23104.31,0
108,130,145,8,0.3,0.5,5,RN_5_8_0.3_0.5,46.37,43.38,1.068925772,23104.31,23104.31,0
109,130,145,10,0.1,0.1,5,RN_5_10_0.1_0.1,230.04,161.41,1.425190509,21038.91,21038.91,0
110,130,145,10,0.1,0.2,5,RN_5_10_0.1_0.2,217.16,164.38,1.32108529,21038.91,21038.91,0
111,130,145,10,0.1,0.3,5,RN_5_10_0.1_0.3,213.46,169.23,1.261360279,21038.91,21038.91,0
112,130,145,10,0.1,0.5,5,RN_5_10_0.1_0.5,201.18,159.11,1.264408271,21038.91,21038.91,0
