Dataset,No. of Nodes,No. of Edges,No. of Districts,Tolerance,Time wo Cuts,Time w Cuts,Objective Function wo Cuts,Objective w Cuts,No_Iterations_wo_logic,No_Cuts_wo_logic,No_Iterations_w_logic,No_Cuts_w_logic
1,400,675,2,0.08,21768.81,7125.46,375663.85,375663.85,1.0,0.0,1.0,0.0
2,400,675,2,0.1,17499.02,6628.06,375663.85,375663.85,1.0,0.0,1.0,0.0
3,400,675,4,0.08,11209.48,4105.41,252228.83,252228.83,1.0,0.0,1.0,0.0
4,400,675,4,0.1,7234.34,4100.02,251940.37,251940.37,1.0,0.0,1.0,0.0
5,500,687,2,0.08,44897.29,4856.0,576917.46,576917.46,3.0,4.0,1.0,0.0
6,500,687,2,0.1,17037.42,5541.36,576211.23,576211.23,1.0,0.0,1.0,0.0
7,500,687,4,0.08,6111.6,2051.56,400272.39,400272.39,1.0,0.0,1.0,0.0
8,500,687,4,0.1,5386.54,2513.98,399851.82,399851.82,1.0,0.0,1.0,0.0
